[29 Jun 2022, 14:03:27] | Error: SQLITE_ERROR: no such column: User.undefined | ID: QtJ191aA-EpRVzhUAAAC
[29 Jun 2022, 14:03:27] | Error: SQLITE_ERROR: incomplete input | ID: QtJ191aA-EpRVzhUAAAC
[29 Jun 2022, 14:03:27] | Error: SQLITE_ERROR: no such column: User.undefined | ID: QtJ191aA-EpRVzhUAAAC
[29 Jun 2022, 14:03:31] | Error: SQLITE_ERROR: no such column: User.undefined | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:03:31] | Error: SQLITE_ERROR: incomplete input | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:03:31] | Error: SQLITE_ERROR: no such column: User.undefined | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:03:32] | Error: SQLITE_ERROR: no such column: User.undefined | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:03:33] | Error: SQLITE_ERROR: no such column: User.undefined | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:03:33] | Error: SQLITE_ERROR: no such column: User.undefined | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:03:33] | Error: SQLITE_CONSTRAINT: NOT NULL constraint failed: Message.sender_name | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:03:33] | Error: SQLITE_ERROR: incomplete input | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:03:38] | Error: SQLITE_ERROR: no such column: User.undefined | ID: QtJ191aA-EpRVzhUAAAC
[29 Jun 2022, 14:03:39] | Error: SQLITE_ERROR: no such column: User.undefined | ID: QtJ191aA-EpRVzhUAAAC
[29 Jun 2022, 14:03:39] | Error: SQLITE_ERROR: no such column: User.undefined | ID: QtJ191aA-EpRVzhUAAAC
[29 Jun 2022, 14:03:39] | Error: SQLITE_CONSTRAINT: NOT NULL constraint failed: Message.sender_name | ID: QtJ191aA-EpRVzhUAAAC
[29 Jun 2022, 14:03:41] | Error: SQLITE_ERROR: no such column: User.undefined | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:03:42] | Error: SQLITE_ERROR: no such column: User.undefined | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:03:42] | Error: SQLITE_ERROR: no such column: User.undefined | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:03:42] | Error: SQLITE_CONSTRAINT: NOT NULL constraint failed: Message.sender_name | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:03:42] | Error: SQLITE_ERROR: incomplete input | ID: 8bWD3VqzkEkjFycYAAAD
[29 Jun 2022, 14:04:47] | Error: SQLITE_ERROR: no such column: User.undefined | ID: k7Gpxn4CJ1HYt8yWAAAC
[29 Jun 2022, 14:04:47] | Error: SQLITE_ERROR: incomplete input | ID: k7Gpxn4CJ1HYt8yWAAAC
[29 Jun 2022, 14:04:47] | Error: SQLITE_ERROR: no such column: User.undefined | ID: k7Gpxn4CJ1HYt8yWAAAC
[29 Jun 2022, 14:04:50] | Error: SQLITE_ERROR: no such column: User.undefined | ID: bJ2Mh6CfYut-Wrj3AAAD
[29 Jun 2022, 14:04:50] | Error: SQLITE_ERROR: incomplete input | ID: bJ2Mh6CfYut-Wrj3AAAD
[29 Jun 2022, 14:04:50] | Error: SQLITE_ERROR: no such column: User.undefined | ID: bJ2Mh6CfYut-Wrj3AAAD
[29 Jun 2022, 14:05:00] | Error: SQLITE_ERROR: no such column: User.undefined | ID: bJ2Mh6CfYut-Wrj3AAAD
[29 Jun 2022, 14:05:03] | Error: SQLITE_ERROR: no such column: User.undefined | ID: bJ2Mh6CfYut-Wrj3AAAD
[29 Jun 2022, 14:05:03] | Error: SQLITE_ERROR: no such column: User.undefined | ID: bJ2Mh6CfYut-Wrj3AAAD
[29 Jun 2022, 14:05:03] | Error: SQLITE_CONSTRAINT: NOT NULL constraint failed: Message.sender_name | ID: bJ2Mh6CfYut-Wrj3AAAD
[29 Jun 2022, 14:05:03] | Error: SQLITE_ERROR: incomplete input | ID: bJ2Mh6CfYut-Wrj3AAAD
[29 Jun 2022, 14:05:08] | Error: SQLITE_ERROR: no such column: User.undefined | ID: bJ2Mh6CfYut-Wrj3AAAD
[29 Jun 2022, 14:05:09] | Error: SQLITE_ERROR: no such column: User.undefined | ID: bJ2Mh6CfYut-Wrj3AAAD
[29 Jun 2022, 14:05:09] | Error: SQLITE_ERROR: no such column: User.undefined | ID: bJ2Mh6CfYut-Wrj3AAAD
[29 Jun 2022, 14:05:09] | Error: SQLITE_CONSTRAINT: NOT NULL constraint failed: Message.sender_name | ID: bJ2Mh6CfYut-Wrj3AAAD
[29 Jun 2022, 14:06:21] | Error: SQLITE_ERROR: no such column: User.undefined | ID: sPZNMiMVqG6ZvsdGAAAD
[29 Jun 2022, 14:06:21] | Error: SQLITE_ERROR: incomplete input | ID: sPZNMiMVqG6ZvsdGAAAD
[29 Jun 2022, 14:06:21] | Error: SQLITE_ERROR: no such column: User.undefined | ID: sPZNMiMVqG6ZvsdGAAAD
[29 Jun 2022, 14:06:34] | Error: SQLITE_ERROR: no such column: User.undefined | ID: WUmxq8ahgbuFd6gIAAAB
[29 Jun 2022, 14:06:34] | Error: SQLITE_ERROR: incomplete input | ID: WUmxq8ahgbuFd6gIAAAB
[29 Jun 2022, 14:06:34] | Error: SQLITE_ERROR: no such column: User.undefined | ID: WUmxq8ahgbuFd6gIAAAB
[29 Jun 2022, 14:06:44] | Error: SQLITE_ERROR: no such column: User.undefined | ID: sPZNMiMVqG6ZvsdGAAAD
[29 Jun 2022, 14:06:46] | Error: SQLITE_ERROR: no such column: User.undefined | ID: sPZNMiMVqG6ZvsdGAAAD
[29 Jun 2022, 14:06:46] | Error: SQLITE_ERROR: no such column: User.undefined | ID: sPZNMiMVqG6ZvsdGAAAD
[29 Jun 2022, 14:06:46] | Error: SQLITE_CONSTRAINT: NOT NULL constraint failed: Message.sender_name | ID: sPZNMiMVqG6ZvsdGAAAD
[29 Jun 2022, 14:09:05] | Error: SQLITE_ERROR: no such column: User.undefined | ID: dyq025qD1Ecc2Z4GAAAB
[29 Jun 2022, 14:09:05] | Error: SQLITE_ERROR: incomplete input | ID: dyq025qD1Ecc2Z4GAAAB
[29 Jun 2022, 14:09:05] | Error: SQLITE_ERROR: no such column: User.undefined | ID: dyq025qD1Ecc2Z4GAAAB
[29 Jun 2022, 14:09:14] | Error: SQLITE_ERROR: no such column: User.undefined | ID: UOaDiGDcwL9pU37-AAAD
[29 Jun 2022, 14:09:14] | Error: SQLITE_ERROR: incomplete input | ID: UOaDiGDcwL9pU37-AAAD
[29 Jun 2022, 14:09:14] | Error: SQLITE_ERROR: no such column: User.undefined | ID: UOaDiGDcwL9pU37-AAAD
[29 Jun 2022, 14:09:22] | Error: SQLITE_ERROR: no such column: User.undefined | ID: UOaDiGDcwL9pU37-AAAD
[29 Jun 2022, 14:09:24] | Error: SQLITE_ERROR: no such column: User.undefined | ID: UOaDiGDcwL9pU37-AAAD
[29 Jun 2022, 14:09:24] | Error: SQLITE_ERROR: no such column: User.undefined | ID: UOaDiGDcwL9pU37-AAAD
[29 Jun 2022, 14:09:24] | Error: SQLITE_CONSTRAINT: NOT NULL constraint failed: Message.sender_name | ID: UOaDiGDcwL9pU37-AAAD
[29 Jun 2022, 14:09:24] | Error: SQLITE_ERROR: incomplete input | ID: UOaDiGDcwL9pU37-AAAD
[29 Jun 2022, 14:09:31] | Error: SQLITE_ERROR: no such column: User.undefined | ID: dyq025qD1Ecc2Z4GAAAB
[29 Jun 2022, 14:09:33] | Error: SQLITE_ERROR: no such column: User.undefined | ID: dyq025qD1Ecc2Z4GAAAB
[29 Jun 2022, 14:09:33] | Error: SQLITE_ERROR: no such column: User.undefined | ID: dyq025qD1Ecc2Z4GAAAB
[29 Jun 2022, 14:09:33] | Error: SQLITE_CONSTRAINT: NOT NULL constraint failed: Message.sender_name | ID: dyq025qD1Ecc2Z4GAAAB
[29 Jun 2022, 14:11:34] | Error: SQLITE_ERROR: no such column: User.undefined | ID: dyq025qD1Ecc2Z4GAAAB
[29 Jun 2022, 14:11:35] | Error: SQLITE_ERROR: no such column: User.undefined | ID: dyq025qD1Ecc2Z4GAAAB
[29 Jun 2022, 14:11:35] | Error: SQLITE_ERROR: no such column: User.undefined | ID: dyq025qD1Ecc2Z4GAAAB
[29 Jun 2022, 14:11:35] | Error: SQLITE_CONSTRAINT: NOT NULL constraint failed: Message.sender_name | ID: dyq025qD1Ecc2Z4GAAAB
